,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Farming,Hoe hoe hoe!,Farming,,"Craft a wooden, stone, iron, gold or diamond hoe",-,
1,Care For the Environment,Plant down a sapling,Farming,Farming,Place any type of sapling,-,
2,Bapple!,Crunch into an apple,Farming,Care For the Environment,Eat an apple,-,
3,Trimming the Treetops,Use shears to obtain leaf blocks,Farming,Bapple!,Obtain any leaf block,-,
4,Foliage,Use shears to pick up short grass or ferns,Farming,Trimming the Treetops,"Obtain either Short Grass, Fern, Short Dry Grass, Tall Dry Grass",-,
5,Yay! Deadbush!,Get a deadbush cause you're a noob,Farming,Foliage,Obtain a dead bush,-,
6,Booshes,Collect some Bushes,Farming,Foliage,Obtain at least two Bushes,-,
7,You can't take the sky from me,Obtain a Firefly Bush,Farming,Booshes,,-,
8,Ecologist,Plant down all types of saplings,Farming,Bapple!,Place:,-,
9,A Mangrove Grove,Plant a Mangrove Propagule in a Grove biome,Farming,Ecologist,,-,
10,Ultra Hardcore,Craft and eat a normal golden apple,Farming,Bapple!,,-,
11,An Apple a Day,Eat an Apple every day for 30 in-game days,Farming,Ultra Hardcore,"The day counter increments when the player eats an apple on a day that they haven't eaten an apple yet.
Every sunrise, it will check if at least one apple was eaten in the previous day. If there wasn’t, it will reset the day counter for apples.
If there was, it resets the apple eaten scoreboard, meaning the player will need to eat another apple on this day",-,
12,Berry Nice!,Pick and eat some sweet berries,Farming,Care For the Environment,,-,
13,Disen Berry Berry Bad!,"Get stuck in a sweet berry bush. Oh, icky yucky goo!",Farming,Berry Nice!,Enter a sweet berry bush block,-,
14,Shrooms,Gather both types of mushroom,Farming,Care For the Environment,Obtain a red and brown mushroom,-,
15,"Mushroom, Mushroom!",Slurp some mushroom stew,Farming,Shrooms,Eat a mushroom stew,-,"Known as ""Mushroom, mushroom, mushroom, mushroom!"" until 1.9"
16,Mega Mushroom,Grow a giant mushroom and then harvest it with silk touch,Farming,"Mushroom, Mushroom!",Obtain a red or brown or stem mushroom block,-,
17,Suspicious Looking Stew,Slurp some suspicious stew and pray you don't suddenly see giant flying eyeballs in the sky,Farming,"Mushroom, Mushroom!",Eat a suspicious stew,-,
18,I'm gonna be sick!,Slurp every kind of suspicious stew,Farming,Suspicious Looking Stew,"Eat Suspicious Stew with the following flowers added: Oxeye Daisy, Cornflower, Lily of the Valley, Wither Rose, any Tulip, Allium, Poppy, Closed Eyeblossom, 
either Blue Orchid or Dandelion, and either Azure Bluet or Open Eyeblossom",-,
19,"Sugar, Sugar",Harvest some sugar cane from a river or ocean,Farming,Care For the Environment,Obtain sugar cane,-,
20,It's full of ink,Obtain some ink from hunting a squid,Farming,"Sugar, Sugar",,-,
21,Squid Game,Hunt enough Squids to collect a stack of Ink Sacs,Farming,It's full of ink,,-,
22,Write your thoughts,"Use a book, ink and a feather to craft a book and quill",Farming,It's full of ink,,-,
23,An amazing story!,Finish writing in your book or get a book from another player,Farming,Write your thoughts,Obtain a written book,-,
24,Kelp me!,Collect some kelp from an ocean,Farming,"Sugar, Sugar",,-,
25,Aquatic Biofuel,Craft a dried kelp block for use as a great fuel source,Farming,Kelp me!,,-,
26,Undersea Gardener,Craft a stack of dried kelp blocks,Farming,Aquatic Biofuel,,-,
27,Castaway,Eat nothing but dried kelp for three in-game days,Farming,Undersea Gardener,"Eat dried kelp once; in the following three in-game days, eat nothing but dried kelp.",-,
28,It's a cactus!,Break down a cactus in a desert,Farming,Care For the Environment,Obtain a cactus,-,
29,Spikey!,Run into a cactus,Farming,It's a cactus!,Take damage from touching a cactus,-,
30,A Seedy Place,Plant a seed and watch it grow,Farming,Farming,"Place wheat, melon, pumpkin, beetroot, nether wart or torchflower seeds, or a pitcher pod",-,
31,Souperman,Beetroot soup gives you souperpowers!,Farming,A Seedy Place,Eat a beetroot soup,-,
32,Bake Bread,Grow wheat and use it to bake bread,Farming,A Seedy Place,Obtain bread,-,
33,The Lie,"Wheat, sugar, milk and eggs!",Farming,Bake Bread,Craft cake,-,
34,Hay there!,Craft a stack of hay blocks,Farming,The Lie,,-,
35,Must be your birthday,Eat 100 slices of cake,Farming,Hay there!,,-,
36,It's where nutella comes from,Obtain some cocoa beans from a jungle,Farming,Bake Bread,,-,
37,Me Love Cookie,Bake some cookies... and then scoff them all yourself,Farming,It's where nutella comes from,Eat a cookie,-,
38,Hot Chocolate,Plant some cocoa in the nice steamy Nether,Farming,Me Love Cookie,Place cocoa beans in the Nether,-,
39,Naturally Carved,Harvest some spooky pumpkins,Farming,A Seedy Place,,-,
40,The Pie,Bake a pumpkin pie,Farming,Naturally Carved,Obtain a pumpkin pie,-,
41,Olaf,Do you want to build a snow golem?,Farming,The Pie,,-,"Known as ""Do you want to build a snowman?"" until 1.9"
