,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Redstone,Cracking contraptions,Redstone,,Obtain redstone dust,-,
1,Click!,Place and push a button,Redstone,Redstone,Press any button,-,
2,Leveraging Synergy,Flick a lever,Redstone,Click!,,-,
3,Under Pressure,Step on a pressure plate,Redstone,Leveraging Synergy,Step on any pressure plate,-,
4,Pressure Detector,Use a pressure plate to craft a detector rail,Redstone,Under Pressure,Obtain a Detector Rail,-,
5,Metal Plate,Dinner time!,Redstone,Pressure Detector,Obtain a Heavy (iron) Weighted Pressure Plate,-,
6,Bling Plate,"Dine in style! (No, not really)",Redstone,Metal Plate,Obtain a Light (gold) Weighted Pressure Plate,-,
7,Tripping Over,"Place a line of string between two tripwire hooks, and trigger it",Redstone,Under Pressure,Stand on an attached line of tripwire that has not been defused,-,
8,Troll Chest,Trigger a trapped chest. Good for trolling your friends!,Redstone,Tripping Over,Open a Trapped Chest,-,
9,Powerful Light,Craft and place a redstone torch,Redstone,Redstone,Place a Redstone Torch,-,
10,Repeating Repeater,Craft a redstone repeater for delaying signals,Redstone,Powerful Light,Obtain a Redstone Repeater,-,
11,Quirky Quartz,Mine Nether Quartz from the Nether,Redstone,Repeating Repeater,Obtain Nether Quartz,-,
12,Comparing Comparator,Craft a redstone comparator,Redstone,Quirky Quartz,Obtain a Redstone Comparator,-,
13,The Power of Books,Read the power signal of a Chiseled Bookshelf using a comparator,Redstone,Comparing Comparator,Place a comparator facing outwards from a Chiseled Bookshelf OR place a Chiseled Bookshelf behind a comparator,-,
14,Solar Power,Craft a daylight sensor,Redstone,Quirky Quartz,Obtain a Daylight Detector,-,
15,Observer Buddy,Craft an observer,Redstone,Solar Power,Obtain an Observer,-,
16,Quartz Miner,Mine enough nether quartz to craft a stack of quartz blocks,Redstone,Observer Buddy,Obtain 64 Quartz Blocks,-,
17,Space Hopper,Craft a hopper for item transportation,Redstone,Repeating Repeater,Obtain a Hopper,-,
18,Space Dropper,Craft a dropper for item transportation,Redstone,Space Hopper,Obtain a Dropper,-,
19,Dispense With This,Construct a dispenser,Redstone,Space Dropper,Obtain a Dispenser,-,
20,Splatfest,Have at least 100 of each type of Chicken Egg fired in the air at once within 48 blocks of you,Redstone,Dispense With This,,-,
21,We Have Liftoff!,Build a redstone machine that uses TNT to launch you at least 100 blocks into the stratosphere,Redstone,Splatfest,An explosion from TNT must launch you at least 100 blocks upward,-,
22,Target Acquired,Put up a Target for archery practise,Redstone,Dispense With This,Place a Target,-,
23,Target Practise,Hit a Target with all types of projectiles,Redstone,Target Acquired,Hit a Target with the following projectiles:,-,
24,Bullseye,Hit the bullseye of a Target Block with an arrow from 30 blocks away,Redstone,Target Acquired,Output a signal strength of 15 on a Target using an arrow from 30 blocks away,-,"Requirements replaced ""Sharpshooter"" in 1.10 Beta Build 10"
25,Craftception,Craft a Crafter,Redstone,Space Dropper,Obtain a Crafter,-,
26,Crafters Crafting Crafters,Be near a Crafter when it crafts a Crafter,Redstone,Craftception,,-,
27,Factorio,Be near a Crafter when it crafts a Dispenser 64 times,Redstone,Crafters Crafting Crafters,,-,
28,Moving Parts,Craft a piston so you can push things,Redstone,Repeating Repeater,Obtain a piston,-,
29,Sticky Parts,Craft a sticky piston so you can pull things,Redstone,Moving Parts,Obtain a sticky piston,-,
30,Engineer,Craft all types of redstone component,Redstone,Sticky Parts,See requirement notes below,-,
31,Master Engineer,Craft a stack of all types of redstone component,Redstone,Engineer,See requirement notes below,-,
32,Mozart,Craft a note block,Redstone,Redstone,Obtain a note block,-,
33,Take Notes,Tune a Note Block through every possible note,Redstone,Mozart,,-,
34,Noteworthy,Play every possible instrument on a Note Block,Redstone,Take Notes,Play a Note Block that is on top of the following blocks:,-,
35,Travelling Bard,Play a Note Block in every type of biome,Redstone,Noteworthy,Play a Note Block in one biome from the following categories:,-,
36,Monstrous Music,Play Note Blocks with each type of mob head above it,Redstone,Travelling Bard,"Play a note block with a Zombie, Skeleton, Wither Skeleton, Creeper, Piglin and Dragon Head on top",-,
37,All Aboard!,Craft and board a Minecart for railway journeys,Redstone,Redstone,Ride a Minecart,-,"Known as ""On A Rail"" until 1.13 Alpha Build 4"
38,Fuel Engine,Craft a Minecart with Furnace and use coal or charcoal to send it chugging,Redstone,All Aboard!,Use coal or charcoal on a Minecart with Furnace,-,
39,Moving Storage,Put a chest in a minecart,Redstone,Fuel Engine,Obtain a Minecart with Chest,-,
40,Moving Moving Storage,Put a hopper in a minecart,Redstone,Moving Storage,Obtain a Minecart with Hopper,-,
41,Mobile Explosion,Put TNT in a minecart,Redstone,Moving Moving Storage,Obtain a Minecart with TNT,-,
42,Electric Rails,Making furnace minecarts completely useless,Redstone,Fuel Engine,Obtain a Powered Rail,-,
43,Railwayman,Craft a stack of all the different types of rails,Redstone,Electric Rails,"Obtain 64 of each of Rails, Powered Rails, Detector Rails and Activator Rails",-,
44,On A Rail,Travel by Minecart in a straight line to at least 1 km from where you started,Redstone,Railwayman,,-,
45,Vibe Check,Use Silk Touch to pick up a Sculk Sensor or find one among Ancient City treasure,Redstone,Redstone,Obtain a Sculk Sensor,-,Hidden and in the Redstone tab until 1.14 Alpha Build 1
46,Calibration Sensation,Craft a Calibrated Sculk Sensor using Amethyst Shards,Redstone,Vibe Check,Obtain a Calibrated Sculk Sensor,-,
47,The Block of Eternal Screaming,Use Silk Touch to pick up a Sculk Shrieker,Redstone,Vibe Check,Obtain a Sculk Shrieker,-,
48,The Incredible Sculk,Collect a stack of all sculk-related blocks,Redstone,The Block of Eternal Screaming,"Collect a stack of: Sculk, Sculk Veins, Sculk Sensors, Sculk Catalysts, Sculk Shriekers and Calibrated Sculk Sensors",-,
49,Sculker Box,Hold a Shulker Box that is completely filled with Sculk,Redstone,The Incredible Sculk,,-,
50,Cataclyst,Kill a Wither near a Sculk Catalyst to unleash a large explosion of sculk,Redstone,The Block of Eternal Screaming,,-,
51,Monstrous Sacrifices,Kill every hostile monster near a Sculk Catalyst,Redstone,Cataclyst,"Same monsters as ""Monsters Hunted"" in the Monsters tab. Creaking and Ender Dragon are not required",-,
